v_mps,a_mps2,pressure_MPa,mu,v_next_mps,a_next_mps2,brake_utilization,slip_risk
6.46376864268817,-3.48701446081292,6.67495476087145,0.8,6.07136864268817,-7.848,1.65380717401815,1
30.6051333254739,-1.38524681077057,7.07573936326658,0.2,30.5070333254739,-1.962,7.01242716373117,1
3.7078664814496,-1.52134965157653,5.11072761845127,0.4,3.5116664814496,-3.924,2.53249896145932,1
23.3282536798423,-1.43374198708244,8.89688661791608,0.4,23.1320536798423,-3.924,4.40863959150333,1
4.95760155508133,-4.50775311780921,6.70871612538389,0.6,4.66330155508133,-5.886,2.21622932371009,1
13.8016261989929,-1.87920903470993,6.99754629808661,0.8,13.4092261989929,-7.848,1.73373343833554,1
15.5530415818145,-5.21784213573785,4.40715763366211,0.2,15.4549415818145,-1.962,4.36772333158268,1
8.32068661008621,-2.56246332270259,9.59636496838057,0.8,7.92828661008621,-7.848,2.37762468777126,1
18.6976531558443,-6.00064500774482,6.35433041638799,0.2,18.5995531558443,-1.962,6.29747322951579,1
19.1247482505752,-4.26863739312233,0.776597221954746,0.8,19.0492457428852,-1.51005015380089,0.192412099108167,0
12.4652297258282,-3.32470407841279,8.16923230404441,0.4,12.2690297258282,-3.924,4.04806788200185,1
25.2999129307644,-1.54299702198526,2.7574198078336,0.6,25.0318304494473,-5.36164962634311,0.910915668763695,0
7.67285143558574,-2.15070930294977,1.67452850322822,0.4,7.51005005332744,-3.25602764516598,0.829772590511208,0
8.65997335710669,-2.06225455639257,5.47067610634945,0.8,8.26757335710669,-7.848,1.35543141722046,1
13.6100588847269,-2.32519845841896,0.783890405521942,0.6,13.5338473175233,-1.52423134407044,0.258958774052063,0
14.3392707437378,-6.99262847663948,0.185423907610884,0.6,14.3212434193868,-0.360546487021164,0.0612549247402589,0
9.08095672640888,-3.30546425523821,6.7771764107576,0.4,8.88475672640888,-3.924,3.35826784427053,1
30.8494479349026,-1.03924817599602,7.14567102516699,0.6,30.5551479349026,-5.886,2.36057769736894,1
28.0806368472678,-5.6087616627615,5.22011897578177,0.4,27.8844368472678,-3.924,2.58670523491282,1
6.04345607450849,-4.20191025269275,8.98552926845315,0.2,5.94535607450849,-1.962,8.90512867810228,1
14.067625200734,-4.96713791422977,6.10037616466176,0.6,13.773325200734,-5.886,2.01526376867106,1
9.88717236653253,-7.35379146136686,6.27069244274295,0.6,9.59287236653253,-5.886,2.07152787684528,1
16.5607350901555,-7.69901248206479,7.06750167888076,0.2,16.4626350901555,-1.962,7.00426318837996,1
11.2208029119965,-7.41194219654627,8.05885223084313,0.6,10.9265029119965,-5.886,2.66224778268122,1
18.1107661175074,-0.40370533426174,4.57656788912173,0.6,17.8164661175074,-5.886,1.51187258012667,1
30.968429677382,-1.00877494312664,9.72896098382066,0.2,30.870329677382,-1.962,9.6419083257935,1
14.4656181339671,-3.20839871283461,4.82852796718278,0.6,14.1713181339671,-5.886,1.59510777788535,1
22.6428100414304,-3.3789140343949,6.43334519069933,0.2,22.5447100414304,-1.962,6.37578099655897,1
20.9773117867337,-5.48560307521784,8.99928060355979,0.4,20.7811117867336,-3.924,4.45937848460461,1
25.7541365904563,-2.572457911792,1.01480460895603,0.8,25.6554750312523,-1.97323118408117,0.251431088695358,0
4.66199619963488,-6.93688841326792,3.59997106027826,0.4,4.46579619963487,-3.924,1.78387964534119,1
25.5362789180553,-0.648884732204126,2.03424407536409,0.6,25.338505188506,-3.95547459098573,0.672014031767878,0
31.6917644413797,-0.0112250527332094,6.27579587734664,0.2,31.5936644413797,-1.962,6.21964140070031,1
